field,type
ActivityYear,DOUBLE PRECISION
RespondentID,VARCHAR(255)
AgencyCode,VARCHAR(255)
FedTaxID,VARCHAR(255)
RespondentName_TS,VARCHAR(255)
RespondentMailingAddress,VARCHAR(255)
RespondentCity_TS,VARCHAR(255)
RespondentState_TS,VARCHAR(255)
RespondentZipCode,VARCHAR(255)
ParentName_TS,VARCHAR(255)
ParentAddress,VARCHAR(255)
ParentCity_TS,VARCHAR(255)
ParentState_TS,VARCHAR(255)
ParentZipCode,VARCHAR(255)
RespondentName_Panel,VARCHAR(255)
RespondentCity_Panel,VARCHAR(255)
RespondentState_Panel,VARCHAR(255)
Assets_Panel,DOUBLE PRECISION
OtherLenderCode_Panel,DOUBLE PRECISION
RegionCode_Panel,DOUBLE PRECISION
LARCount,DOUBLE PRECISION
ValidityError,VARCHAR(255)
