"provider_business_practice_location_address_state_name","count"
"CA",449406
"NY",334620
"TX",241777
"FL",240925
"PA",171751
"IL",153357
"OH",141970
"MI",125715
"NC",123187
"MA",121249
"NJ",105287
"WA",100593
"GA",95740
"VA",83071
"MD",78287
"AZ",75592
"TN",74982
"WI",73116
"MO",71775
"CO",71743
"MN",71233
"IN",65822
"OR",60994
"",54847
"OK",52237
"KY",52010
"LA",51717
"CT",51000
"SC",49197
"AL",43673
"AR",39713
"KS",34774
"PR",33230
"IA",32551
"UT",32307
"NM",31383
"NV",30531
"MS",27644
"NE",23610
"DC",22899
"ME",22743
"WV",21944
"NH",19247
"ID",18346
"HI",17467
"RI",16433
"AK",14156
"MT",13661
"DE",12431
"SD",11346
"ND",10226
"VT",9513
"WY",8342
"AE",2269
"AP",1439
"VI",672
"GU",500
"PUERTO RICO",178
"AA",169
"MP",164
"ONTARIO",114
"BC",93
"GERMANY",62
"AS",53
"CHIHUAHUA",47
"ON",41
"JAPAN",40
"OKINAWA",35
"BAVARIA",32
"BAJA CALIFORNIA",32
"PW",29
"CHIH",26
"KOREA",26
"ISRAEL",26
"SONORA",22
"QC",20
"ALBERTA",20
"QUEBEC",20
"TAMAULIPAS",18
"ITALY",16
"SUFFOLK",15
"APO",15
"FM",14
"BRITISH COLUMBIA",13
"APO AE",13
"GUAM",11
"HESSEN",10
"NEW YORK",10
"FLORIDA",10
"USA",10
"ENGLAND",9
"TEXAS",9
"EUROPE",9
"FPO",8
"ABU DHABI",8
"PUNJAB",7
"P.R.",7
"AB",7
"MEXICO",6
"NS",6
"TOKYO",6
"APO AP",6
"MX",6
"CALIFORNIA",6
"BADEN WURTEMBOURG",6
"SEOUL",6
"TURKEY",6
"EASTERN PROVINCE",6
"SOUTH KOREA",6
"US",6
"GB",5
"DOHA",5
"MANILA",5
"PANAMA",5
"COAHUILA",5
"B.C.",5
"SHANGHAI",5
"NSW",5
"MICHIGAN",4
"SINGAPORE",4
"BANGKOK",4
"ISTANBUL",4
"SK",4
"RHEINLAND-PFALZ",4
"DUBLIN",4
"QUEENSLAND",4
"BERMUDA",4
"OHIO",4
"LANDSTUHL",4
"CUBA",4
"NOT APPLICABLE",4
"CHIH.",4
"FPO AP",4
"USVI",4
"SA",4
"AMERICAN SAMOA",4
"CAVITE",4
"SASKATCHEWAN",4
"CAMPANIA",3
"ICELAND",3
"NAPLES",3
"SPAIN",3
"WASHINGTON",3
"UK",3
"MH",3
"MIDDLESEX",3
"NF",3
"FPO AE",3
"GE",3
"NONE",3
"MB",3
"CAIRO",3
"DUBAI",3
"SAIPAN",3
"BAYERN",3
"UNITED KINGDOM",3
"NA",3
"NEW BRUNSWICK",3
"SANTIAGO",3
"VIRGIN ISLANDS",3
"UNITED STATES",3
"JERUSALEM",3
"KARNATAKA",3
"ATHENS",3
"DELHI",3
"CENTRAL",3
"RM",3
"TAIWAN",3
"NOVA SCOTIA",3
"CUNDINAMARCA",3
"RIYADH",3
"MARYLAND",3
"CO. DUBLIN",3
"LA ALTAGRACIA",3
"MADRID",3
"N/A",3
"VIC",2
"YAMAGUCHI",2
"NGOUNIE",2
"KANAGAWA",2
"JP",2
"PAKISTAN",2
"ROMANIA",2
"FOREIGN PROVINCE",2
"GRO",2
"ONT",2
"US VIRGIN ISLANDS",2
"VALENCIA",2
"VIRGINIA",2
"NEW JERSEY",2
"PICHINCHA",2
"ZAMBALES",2
"JALISCO",2
"PUERTO PLATA",2
"TENNESSEE",2
"SIND",2
"LIMA",2
"PN",2
"BENGUET",2
"TAMPS",2
"COUNTY CORK",2
"NL",2
"EASTERN",2
"RHEINLAND PFALZ",2
"RAMAT GAN",2
"PHILIPPINES",2
"DISTRITO CAPITAL",2
"SCOTLAND",2
"GEORGIA",2
"MANITOBA",2
"BERLIN",2
"FRANCE",2
"A.E.",2
"LAGOS",2
"RHINELAND-PFALZ",2
"RHINELAND PFALZ",2
"CADIZ",2
"TAIPEI",2
"CE",2
"PANGASINAN",2
"GREATER LONDON",2
"NEWFOUNDLAND",2
"B.C",2
"CHIANG MAI",2
"OSAN AB",2
"CAYMAN ISLANDS",2
"BAHRAIN",2
"ARMED FORCES EUROPE",2
"BELGIUM",2
"CRETE",2
"APO, AP",2
"KENTUCKY",2
"RIZAL",2
"METRO MANILA",2
"AOMORI",2
"SINDH",2
"GUATEMALA",2
"WEST INDIES",2
"SAUDI ARABIA",2
"YOKOSUKA",2
"PORTUGAL",2
"MISSOURI",2
"GUJARAT",2
"ALABAMA",2
"PI",2
"GREAT BRITAIN",2
"APO  AE",2
"LAJES FIELD, AZORES",1
"PAMPANGA",1
"09180",1
"CORDOBA",1
"VAIHINGEN",1
"TERCEIRA",1
"UNK",1
"MIATO-KU",1
"MOSCOW OBLAST",1
"AF",1
"CAPITAL",1
"MADAGASCAR",1
"LB",1
"BRITISH  COLUMBIA",1
"GALIL",1
"WEST MIDLANDS",1
"BO",1
"HAWAII",1
"APO, AE",1
"ZUID HOLLAND",1
"GAUTENG",1
"KUNSAN",1
"INDIA",1
"SICILY",1
"RHINELAND PFLATZ",1
"SASK",1
"YOKOHAMA",1
"REPUBLIC OF KOREA (ROK)",1
"NEGISHI",1
"REPUBLIC OF KOREA",1
"JEDDAH",1
"REILANDFALS",1
"MAYNAS",1
"NRW",1
"N.Y.",1
"PIRMASENS",1
"NORFOLK",1
"PRIMASENS",1
"CAESAREA",1
"SOR TRONDELAG",1
"RUSSIAN FEDERATION",1
"NEW TERRITORIES",1
"REINLAND-PFALZ",1
"ALL STATES",1
"BOX 283",1
"ERD",1
"VAUD",1
"CA / ONTARIO",1
"ESSEX",1
"IWATE",1
"VICTORIA",1
"BADEN-WURTTEMBERG",1
"OSAKA",1
"CMR 402",1
"BRANDON, SUFFOLK",1
"D.N. LOWER GALILLEE",1
"ILE-DE-FRANCE",1
"EUROVILLAGE COMPOUND, AL KHOBAR, EASTERN",1
"WAIKATO",1
"HARROGATE",1
"INDIANA",1
"CEBU",1
"SE",1
"NIEDERSACHSEN",1
"FUSSA SHE",1
"BAKU",1
"BITBURG",1
"NONTHABURI",1
"YONGSAN",1
"NEVADA",1
"CENTRAL REGION",1
"BE",1
"MANAWATU",1
"LAKENHEATH",1
"SERBIA",1
"YOKOTA",1
"ANTARTICA",1
"DISTRICT OF COLUMBIA",1
"AFRICA",1
"ST. CROIX",1
"HIROSHIMA",1
"GREAT  BRITAIN",1
"ATTIKIS",1
"US NAVY",1
"GAUM",1
"SWITZERLAND",1
"LIBYA",1
"RAJASTHAN",1
"HEREDIA",1
"YUNNAN",1
"LIMERICK",1
"RLP",1
"ZURICH",1
"CONNAUGHT",1
"AZUAY",1
"EAST ANGLIA",1
"INCIRLIK",1
"KINGSTON",1
"SOR-TRONDELAG",1
"ROCKLAND COUNTY",1
"APURIMAC",1
"ONTATIO",1
"U.S. VIRGIN ISLANDS",1
"SAITAMA",1
"SPANGDAHLEM AB",1
"KYUNGKIDO",1
"RIFT VALLEY",1
"GTO.",1
"ST. MICHAEL",1
"NEJD",1
"FPO  AP",1
"ES",1
"IWAKUNI",1
"PH",1
"GRICIGNANO",1
"AHMADI",1
"CASERTA",1
"VICENZA",1
"NORTHAMPTONSHIRE",1
"70174",1
"BADEN WURTENBERG",1
"KHARTOUM",1
"ZA",1
"NEW PROVIDENCE",1
"REPUBLIC OF PANAMA",1
"PHILILIPPINES",1
"RIO DE JANEIRO",1
"UNKNOWN",1
"WIESBADEN",1
"LOS ANGELES",1
"ROTORUA",1
"NORTH LEBANON",1
"BAYET VEGAN",1
"CENTRAL PROVINCE",1
"KINSHASA",1
"VRANCEA",1
"CAMBRIDGESHIRE",1
"TIROL",1
"YAMAGATA",1
"LEINSTER",1
"NUEVO LEON",1
"ODESSA",1
"TEKIRDAG",1
"METROMANILA",1
"GUIZA",1
"CHAOYANG DISTRICT",1
"225400000X",1
"SANTANDER",1
"BADEDN-WURRTEMBURG",1
"DEVONSHIRE",1
"TAK",1
"US VIRGIN ISLAND",1
"0",1
"TAMIL NADU",1
"PUESRTO RICO",1
"LANCASTER",1
"RS",1
"SELANGOR",1
"NORTH CAROLINA",1
"TERRITORY",1
"KANE COUNTY",1
"PARANA",1
"JACKSON",1
"AMSTERDAM",1
"ALAJUELA",1
"TORTOLA",1
"S",1
"BW",1
"KERALA",1
"REGION 1",1
"CORK",1
"BUENGKUM",1
"SHANDONG",1
"ANDHRA PRADESH",1
"KR",1
"ARDEBIL",1
"XINJIANG",1
"RJ",1
"BULACAN",1
"NORTH YORKSHIRE",1
"ALBANIA",1
"ATTICA",1
"BOTSWANA",1
"CHWARBAKH",1
"SOUTHERN DISTRICT",1
"DHAHRAN",1
"NOT EXISTENT",1
"AC",1
"BASEL LANDSCHAFT",1
"MARION",1
