boro,boroname,neighborhood,subboro,ctract,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,2500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,3100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,3300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,3700,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,3900,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,4300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,4500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,4700,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,5100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,5300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,5500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,5700,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,5900,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,6100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,6300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,6501,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,6502,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,6900,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,7100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,7300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,7500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,7700,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,7900,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,8100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,8300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,8500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,8700,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,9100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,9500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,9700,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,9900,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,10100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,10300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,10500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,10701,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,11100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,11300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,11500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,11700,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,11900,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,12100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,12301,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,12500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,13500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,13700,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,14100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,14300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,14500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,14700,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,14900,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,15100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,15300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,15500,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,15700,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,15900,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,16100,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,16300,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,29900,,,,,,,,,,,,,,,,,,
4,Queens,Astoria,1,31700,,,,,,,,,,,,,,,,,,
4,Queens,Sunnyside/Woodside,2,100,,,,,,,,,,,,,,,,,,
