TAB_MINORITY,FIPST,TABWGT,VARIANCE,ADJ_VAR,ROUND_RSE
Equally Minority-and Nonminority-Owned,Alabama,2391,36524.6496,72759.4761,11
Minority-Owned,Alabama,70548,565121.2544,1125758.272,2
Nonminority-Owned,Alabama,298839,2044229.265,4072237.57,1
Equally Minority-and Nonminority-Owned,Arizona,15062,86882.48265,173075.5528,3
Minority-Owned,Arizona,85274,397494.4514,791834.7844,1
Nonminority-Owned,Arizona,372777,1238805.98,2467782.035,0
Equally Minority-and Nonminority-Owned,Arkansas,2857,20620.43248,41077.24182,7
Minority-Owned,Arkansas,23604,159585.8144,317905.3153,2
Nonminority-Owned,Arkansas,204444,1575451.839,3138402.468,1
Equally Minority-and Nonminority-Owned,California,105848,550813.6666,1097256.627,1
Minority-Owned,California,1220987,4144982.113,8257073.794,0
Nonminority-Owned,California,1998128,4914585.256,9790173.279,0
Equally Minority-and Nonminority-Owned,Colorado,11360,96577.42476,192388.5077,4
Minority-Owned,Colorado,59685,511287.6326,1018518.198,2
Nonminority-Owned,Colorado,455578,2190757.077,4364130.497,0
Equally Minority-and Nonminority-Owned,Connecticut,3403,24091.71248,47992.25721,6
Minority-Owned,Connecticut,39832,497769.608,991589.4141,2
Nonminority-Owned,Connecticut,276553,1947935.662,3880414.455,1
Equally Minority-and Nonminority-Owned,Florida,39486,841659.3962,1676640.225,3
Minority-Owned,Florida,680147,5543921.797,11043852.57,0
Nonminority-Owned,Florida,1229694,8428699.558,16790517.39,0
Equally Minority-and Nonminority-Owned,Georgia,9641,188708.0005,375918.603,6
Minority-Owned,Georgia,263386,1319412.918,2628356.295,1
Nonminority-Owned,Georgia,603945,608252.8542,1211679.222,0
Equally Minority-and Nonminority-Owned,Hawaii,5300,93336.42834,185932.2321,8
Minority-Owned,Hawaii,68634,343576.4442,684426.6093,1
Nonminority-Owned,Hawaii,41688,577059.6625,1149540.357,3
Equally Minority-and Nonminority-Owned,Idaho,3233,26734.17985,53256.22398,7
Minority-Owned,Idaho,6792,68367.00806,136191.5239,5
Nonminority-Owned,Idaho,136406,659187.0012,1313143.354,1
Equally Minority-and Nonminority-Owned,Illinois,11557,238930.0797,475964.2493,6
Minority-Owned,Illinois,223086,1802444.962,3590587.523,1
Nonminority-Owned,Illinois,851750,2888449.028,5753978.213,0
Equally Minority-and Nonminority-Owned,Indiana,4610,101004.3651,201207.2605,10
Minority-Owned,Indiana,40716,157618.1727,313985.6452,1
Nonminority-Owned,Indiana,421950,1249590.427,2489265.354,0
Equally Minority-and Nonminority-Owned,Iowa,2461,20271.53684,40382.21904,8
